Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
All Errors,20181024101454,2018-10-24 10:15:13,433,YBN Utility Accounts,120125,Yodle national marketing test,LIVE,http://sdgaerhsrtjetdykdty.net,0,0,0,0,No DB Unpaid Number,8884109786,false,PPC Not Found,0,http://sdgaerhsrtjetdykdty.net/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181024101454,2018-10-24 10:15:30,433,YBN Utility Accounts,221714,TMT Test - New York NY,LIVE,http://twomen-test.net,0,0,0,0,8886282039,No DB Paid Number,0,PPC Not Found,0,http://twomen-test.net/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
All Errors,20181024101454,2018-10-24 10:15:49,433,YBN Utility Accounts,275642,YBN Marketing,LIVE,http://centermark.yodle.com,8008628921,8559738003,8008628921,8559738003,8559738003,No DB Paid Number,0,PPC Not Found,0,https://www.web.com/for-enterprise/?provider=google,301,200,216.21.227.86,2.ns.web.com.,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,
All Errors,20181024101454,2018-10-24 10:16:18,433,YBN Utility Accounts,314059,Nightwatch Protection Inc. Your Local ADT Authorized Dealer ,LIVE,http://nightwatchma.com,8884771929,8884771929,8884771929,8884771929,8884771929,No DB Paid Number,0,PPC Not Found,0,http://www.nightwatchma.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
All Errors,20181024101454,2018-10-24 10:16:38,433,YBN Utility Accounts,314061,Nightwatch Protection Inc. Your Local ADT Authorized Dealer ,LIVE,http://nightwatchprotection.com,8889060284,8889060284,8889060284,8889060284,8889060284,No DB Paid Number,0,PPC Not Found,0,http://www.nightwatchprotection.com/?provider=google,301,200,205.178.153.7,ns19.worldnic.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Check if website is live,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
Check if website is live,20181024101454,2018-10-24 10:15:13,433,YBN Utility Accounts,120125,Yodle national marketing test,LIVE,http://sdgaerhsrtjetdykdty.net,0,0,0,0,No DB Unpaid Number,8884109786,false,PPC Not Found,0,http://sdgaerhsrtjetdykdty.net/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
Check unpaid desktop CTN,20181024101454,2018-10-24 10:15:13,433,YBN Utility Accounts,120125,Yodle national marketing test,LIVE,http://sdgaerhsrtjetdykdty.net,0,0,0,0,No DB Unpaid Number,8884109786,false,PPC Not Found,0,http://sdgaerhsrtjetdykdty.net/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024101454,2018-10-24 10:15:30,433,YBN Utility Accounts,221714,TMT Test - New York NY,LIVE,http://twomen-test.net,0,0,0,0,8886282039,No DB Paid Number,0,PPC Not Found,0,http://twomen-test.net/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024101454,2018-10-24 10:15:49,433,YBN Utility Accounts,275642,YBN Marketing,LIVE,http://centermark.yodle.com,8008628921,8559738003,8008628921,8559738003,8559738003,No DB Paid Number,0,PPC Not Found,0,https://www.web.com/for-enterprise/?provider=google,301,200,216.21.227.86,2.ns.web.com.,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,
Check unpaid mobile CTN,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
Check unpaid mobile CTN,20181024101454,2018-10-24 10:15:13,433,YBN Utility Accounts,120125,Yodle national marketing test,LIVE,http://sdgaerhsrtjetdykdty.net,0,0,0,0,No DB Unpaid Number,8884109786,false,PPC Not Found,0,http://sdgaerhsrtjetdykdty.net/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024101454,2018-10-24 10:15:30,433,YBN Utility Accounts,221714,TMT Test - New York NY,LIVE,http://twomen-test.net,0,0,0,0,8886282039,No DB Paid Number,0,PPC Not Found,0,http://twomen-test.net/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
Check session tracking code,20181024101454,2018-10-24 10:15:13,433,YBN Utility Accounts,120125,Yodle national marketing test,LIVE,http://sdgaerhsrtjetdykdty.net,0,0,0,0,No DB Unpaid Number,8884109786,false,PPC Not Found,0,http://sdgaerhsrtjetdykdty.net/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024101454,2018-10-24 10:15:30,433,YBN Utility Accounts,221714,TMT Test - New York NY,LIVE,http://twomen-test.net,0,0,0,0,8886282039,No DB Paid Number,0,PPC Not Found,0,http://twomen-test.net/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024101454,2018-10-24 10:15:49,433,YBN Utility Accounts,275642,YBN Marketing,LIVE,http://centermark.yodle.com,8008628921,8559738003,8008628921,8559738003,8559738003,No DB Paid Number,0,PPC Not Found,0,https://www.web.com/for-enterprise/?provider=google,301,200,216.21.227.86,2.ns.web.com.,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,
Check if SSL is enabled,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
Check if SSL is enabled,20181024101454,2018-10-24 10:15:13,433,YBN Utility Accounts,120125,Yodle national marketing test,LIVE,http://sdgaerhsrtjetdykdty.net,0,0,0,0,No DB Unpaid Number,8884109786,false,PPC Not Found,0,http://sdgaerhsrtjetdykdty.net/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024101454,2018-10-24 10:15:30,433,YBN Utility Accounts,221714,TMT Test - New York NY,LIVE,http://twomen-test.net,0,0,0,0,8886282039,No DB Paid Number,0,PPC Not Found,0,http://twomen-test.net/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024101454,2018-10-24 10:16:18,433,YBN Utility Accounts,314059,Nightwatch Protection Inc. Your Local ADT Authorized Dealer ,LIVE,http://nightwatchma.com,8884771929,8884771929,8884771929,8884771929,8884771929,No DB Paid Number,0,PPC Not Found,0,http://www.nightwatchma.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
Check if SSL is enabled,20181024101454,2018-10-24 10:16:38,433,YBN Utility Accounts,314061,Nightwatch Protection Inc. Your Local ADT Authorized Dealer ,LIVE,http://nightwatchprotection.com,8889060284,8889060284,8889060284,8889060284,8889060284,No DB Paid Number,0,PPC Not Found,0,http://www.nightwatchprotection.com/?provider=google,301,200,205.178.153.7,ns19.worldnic.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Provision SSL,20181024101454,2018-10-24 10:14:55,433,YBN Utility Accounts,19517,Metropage Domain Shell,LIVE,http://yodletest24.com,0,0,0,0,6467700974,No DB Paid Number,0,PPC Not Found,0,http://yodletest24.com/?provider=google,404,404,205.178.153.6,ns3b.dns-host.com.,yes,no,yes,no,no,no,no,yes,no,no,yes,no,
Provision SSL,20181024101454,2018-10-24 10:16:18,433,YBN Utility Accounts,314059,Nightwatch Protection Inc. Your Local ADT Authorized Dealer ,LIVE,http://nightwatchma.com,8884771929,8884771929,8884771929,8884771929,8884771929,No DB Paid Number,0,PPC Not Found,0,http://www.nightwatchma.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,
